BaseCase,RA,RASDG,Year,indicator,Country/Region
55.71,88.39,89.17,2059,Renewable_Share,Central & Southern Asia
57.47,89.18,90.1,2060,Renewable_Share,Central & Southern Asia
8.688,8.688,8.688,2020,Renewable_Share,East & Southeast Asia
9.054,9.054,9.054,2021,Renewable_Share,East & Southeast Asia
9.496,9.496,9.496,2022,Renewable_Share,East & Southeast Asia
9.924,9.924,9.924,2023,Renewable_Share,East & Southeast Asia
10.33,10.33,10.33,2024,Renewable_Share,East & Southeast Asia
10.77,10.77,10.77,2025,Renewable_Share,East & Southeast Asia
11.22,11.42,11.42,2026,Renewable_Share,East & Southeast Asia
11.67,13.13,13.12,2027,Renewable_Share,East & Southeast Asia
12.11,15.64,15.6,2028,Renewable_Share,East & Southeast Asia
12.57,18.7,18.66,2029,Renewable_Share,East & Southeast Asia
13.05,21.92,21.9,2030,Renewable_Share,East & Southeast Asia
13.56,25.29,25.3,2031,Renewable_Share,East & Southeast Asia
14.14,28.78,28.88,2032,Renewable_Share,East & Southeast Asia
14.82,32.44,32.67,2033,Renewable_Share,East & Southeast Asia
15.6,36.31,36.69,2034,Renewable_Share,East & Southeast Asia
16.48,40.39,40.93,2035,Renewable_Share,East & Southeast Asia
17.45,44.61,45.32,2036,Renewable_Share,East & Southeast Asia
18.6,48.91,49.76,2037,Renewable_Share,East & Southeast Asia
19.68,51.86,52.59,2038,Renewable_Share,East & Southeast Asia
20.59,54.98,55.9,2039,Renewable_Share,East & Southeast Asia
21.59,57.79,58.66,2040,Renewable_Share,East & Southeast Asia
22.57,59.58,60.53,2041,Renewable_Share,East & Southeast Asia
23.45,62.13,63.06,2042,Renewable_Share,East & Southeast Asia
24.34,64.17,65.16,2043,Renewable_Share,East & Southeast Asia
25.32,66.52,67.51,2044,Renewable_Share,East & Southeast Asia
26.4,68.42,69.46,2045,Renewable_Share,East & Southeast Asia
27.55,70.26,71.29,2046,Renewable_Share,East & Southeast Asia
28.75,71.63,72.73,2047,Renewable_Share,East & Southeast Asia
29.99,72.94,74.04,2048,Renewable_Share,East & Southeast Asia
31.24,74.5,75.67,2049,Renewable_Share,East & Southeast Asia
32.48,76.01,77.17,2050,Renewable_Share,East & Southeast Asia
33.73,77.42,78.61,2051,Renewable_Share,East & Southeast Asia
34.96,78.8,80,2052,Renewable_Share,East & Southeast Asia
36.16,80.11,81.32,2053,Renewable_Share,East & Southeast Asia
37.33,81.38,82.58,2054,Renewable_Share,East & Southeast Asia
38.5,82.53,83.73,2055,Renewable_Share,East & Southeast Asia
39.67,83.64,84.79,2056,Renewable_Share,East & Southeast Asia
40.84,84.63,85.79,2057,Renewable_Share,East & Southeast Asia
42.03,85.58,86.68,2058,Renewable_Share,East & Southeast Asia
43.23,86.43,87.52,2059,Renewable_Share,East & Southeast Asia
44.26,87.23,88.29,2060,Renewable_Share,East & Southeast Asia
6.086,6.086,6.086,2020,Renewable_Share,Europe & North America
6.282,6.282,6.282,2021,Renewable_Share,Europe & North America
6.601,6.601,6.601,2022,Renewable_Share,Europe & North America
6.931,6.931,6.931,2023,Renewable_Share,Europe & North America
7.324,7.324,7.324,2024,Renewable_Share,Europe & North America
7.779,7.779,7.779,2025,Renewable_Share,Europe & North America
8.265,8.382,8.382,2026,Renewable_Share,Europe & North America
8.769,9.187,9.184,2027,Renewable_Share,Europe & North America
9.272,10.11,10.1,2028,Renewable_Share,Europe & North America
9.767,11.22,11.2,2029,Renewable_Share,Europe & North America
10.27,12.53,12.53,2030,Renewable_Share,Europe & North America
10.81,13.91,13.92,2031,Renewable_Share,Europe & North America
11.37,15.43,15.49,2032,Renewable_Share,Europe & North America
11.97,17.19,17.32,2033,Renewable_Share,Europe & North America
12.61,19.19,19.41,2034,Renewable_Share,Europe & North America
13.28,21.57,21.91,2035,Renewable_Share,Europe & North America
14.01,24.14,24.65,2036,Renewable_Share,Europe & North America
14.78,27.06,27.74,2037,Renewable_Share,Europe & North America
15.61,30.15,30.99,2038,Renewable_Share,Europe & North America
16.45,33.48,34.47,2039,Renewable_Share,Europe & North America
17.29,36.92,38.01,2040,Renewable_Share,Europe & North America
18.13,40.44,41.6,2041,Renewable_Share,Europe & North America
19.01,44.04,45.27,2042,Renewable_Share,Europe & North America
19.92,47.63,48.94,2043,Renewable_Share,Europe & North America
20.88,51.1,52.5,2044,Renewable_Share,Europe & North America
21.9,54.3,55.76,2045,Renewable_Share,Europe & North America
22.99,57.37,58.85,2046,Renewable_Share,Europe & North America
24.15,60.29,61.75,2047,Renewable_Share,Europe & North America
25.39,62.84,63.96,2048,Renewable_Share,Europe & North America
26.68,65.13,66.47,2049,Renewable_Share,Europe & North America
27.85,67.31,68.4,2050,Renewable_Share,Europe & North America
29.08,69.21,70.54,2051,Renewable_Share,Europe & North America
30.39,71.14,72.26,2052,Renewable_Share,Europe & North America
31.74,72.88,74.18,2053,Renewable_Share,Europe & North America
33.13,74.6,75.69,2054,Renewable_Share,Europe & North America
34.57,76.13,77.41,2055,Renewable_Share,Europe & North America
36.05,77.66,78.71,2056,Renewable_Share,Europe & North America
37.59,79.03,80.27,2057,Renewable_Share,Europe & North America
39.17,80.37,81.37,2058,Renewable_Share,Europe & North America
40.81,81.56,82.76,2059,Renewable_Share,Europe & North America
